deal_id,account_name,industry,employees,region,lead_source,arr,outcome,cycle_days,close_date
D-10291,Meridian Financial,Healthcare,745,UK/EU,Paid Search,41000,won,103,2025-07-19
D-10292,Carrickfern Systems,Media,786,US-East,Partner Referral,27000,won,90,2025-10-23
D-10293,Stonegate Logistics,Hospitality,69,US-East,Outbound SDR,9000,lost,101,2025-11-18
D-10294,Loxley Foods,Retail,603,US-West,Webinar,15000,won,115,2026-02-07
D-10295,Thornbury Bioscience,Logistics,77,US-East,Inbound Demo,9000,won,87,2026-06-26
D-10296,Dunmore Networks,Healthcare,746,US-East,Partner Referral,45000,won,90,2024-10-04
D-10297,Clearwave Industries,Logistics,175,US-West,Inbound Demo,9000,lost,84,2024-12-26
D-10298,Lattice Robotics,Hospitality,60,Canada,Paid Search,9000,won,136,2026-01-13
D-10299,Umberton Labs,Education,2068,US-East,Inbound Demo,66000,won,117,2024-07-28
D-10300,Fairhaven Industries,Healthcare,14616,US-West,Webinar,826000,lost,118,2024-08-27
D-10301,Dunmore Analytics,Healthcare,1068,UK/EU,Conference,35000,lost,62,2025-10-19
D-10302,Thornbury Holdings,Retail,275,Canada,Inbound Demo,9000,won,78,2026-03-20
D-10303,Dunmore Industries,Logistics,548,UK/EU,Inbound Demo,19000,lost,140,2025-03-07
D-10304,Cascadia Aviation,Retail,374,US-East,Conference,23000,lost,130,2025-02-05
D-10305,Merrivale Insurance,Media,3253,UK/EU,Partner Referral,87000,won,81,2025-10-15
D-10306,Jarvis Technologies,Pharmaceuticals,3029,US-East,Partner Referral,170000,won,38,2025-09-20
D-10307,Meridian Holdings,Hospitality,78,US-East,Partner Referral,9000,lost,116,2025-01-19
D-10308,Copperfield Logistics,Healthcare,1215,US-East,Outbound SDR,31000,won,99,2026-04-26
D-10309,Sable Group,Real Estate,333,UK/EU,Outbound SDR,12000,lost,83,2024-09-23
D-10310,Stonegate Networks,Banking,13692,US-West,Inbound Demo,465000,won,73,2025-06-26
D-10311,Fairhaven Systems,Manufacturing,316,US-West,Inbound Demo,20000,won,80,2025-03-06
D-10312,Loxley Robotics,Pharmaceuticals,53,US-East,Conference,9000,won,75,2025-08-01
D-10313,Clearwave Technologies,Healthcare,76,Canada,Conference,9000,won,118,2025-11-20
D-10314,Glenmore Analytics,Banking,12179,Canada,Partner Referral,674000,won,122,2024-07-30
D-10315,Redbourne Clinical,Education,162,US-East,Inbound Demo,9000,lost,77,2024-08-08
D-10316,Silverpine Financial,Banking,4232,Canada,Partner Referral,262000,won,97,2024-12-04
D-10317,Kingsley Retail Co,Banking,52,US-West,Conference,9000,won,98,2025-03-12
D-10318,Tamarack Bioscience,Retail,1002,Canada,Inbound Demo,50000,lost,106,2025-04-01
D-10319,Dalhousie Health,Retail,98,US-East,Partner Referral,9000,lost,122,2026-06-09
D-10320,Meridian Partners,Logistics,244,Canada,Outbound SDR,9000,lost,96,2025-12-24
D-10321,Sable Technologies,Media,100,US-West,Conference,9000,lost,116,2024-11-16
D-10322,Dalhousie Labs,Hospitality,1314,US-East,Inbound Demo,29000,lost,100,2026-02-24
D-10323,Ardent Bioscience,Healthcare,3294,Canada,Conference,94000,won,56,2026-02-21
D-10324,Ardent Therapeutics,Manufacturing,284,Canada,Paid Search,10000,lost,91,2026-05-23
D-10325,Ivywood Aviation,Banking,271,US-West,Inbound Demo,10000,won,107,2026-02-14
D-10326,Copperfield Partners,Retail,79,US-West,Inbound Demo,9000,lost,90,2025-10-16
D-10327,Aldergrove Diagnostics,Real Estate,80,Canada,Conference,9000,lost,93,2026-06-14
D-10328,Pemberton Logistics,Media,78,US-East,Inbound Demo,9000,lost,76,2026-02-13
D-10329,Redbourne Materials,Hospitality,3652,US-West,Paid Search,113000,lost,92,2024-09-13
D-10330,Marlowe Materials,Media,3193,US-East,Paid Search,105000,lost,114,2024-07-05
D-10331,Quarry Hill Partners,Real Estate,101,US-West,Outbound SDR,9000,lost,97,2026-03-05
D-10332,Oakhurst Technologies,Education,371,US-East,Partner Referral,18000,won,85,2024-09-08
D-10333,Dunmore Foods,Education,92,US-East,Inbound Demo,9000,lost,124,2024-07-13
D-10334,Carrickfern Technologies,Media,94,US-East,Outbound SDR,9000,lost,128,2025-08-21
D-10335,Jesmond Insurance,Logistics,995,UK/EU,Paid Search,51000,lost,96,2025-02-24
D-10336,Loxley Analytics,Retail,3174,US-East,Inbound Demo,63000,won,86,2025-06-18
D-10337,Merrivale Aviation,Logistics,13674,US-East,Partner Referral,675000,lost,125,2025-01-30
D-10338,Fairhaven Health,Education,94,US-East,Partner Referral,9000,lost,73,2025-10-23
D-10339,Quarry Hill Robotics,Media,7549,Canada,Partner Referral,223000,lost,119,2025-10-29
D-10340,Copperfield Bioscience,Real Estate,49,US-East,Outbound SDR,9000,lost,97,2026-06-27
D-10341,Pemberton Capital,Logistics,596,US-West,Outbound SDR,21000,lost,122,2025-03-26
D-10342,Everly Therapeutics,Hospitality,228,Canada,Paid Search,12000,lost,68,2024-07-28
D-10343,Ardent Media,Manufacturing,15732,UK/EU,Paid Search,918000,lost,84,2025-07-09
D-10344,Ironwood Networks,Banking,259,US-East,Partner Referral,13000,won,49,2025-04-22
D-10345,Thornbury Networks,Education,182,US-East,Webinar,9000,lost,71,2026-05-19
D-10346,Pemberton Retail Co,Healthcare,66,UK/EU,Outbound SDR,9000,lost,79,2025-03-23
D-10347,Hollingsworth Partners,Healthcare,300,Canada,Webinar,14000,lost,80,2025-08-01
D-10348,Inverness Labs,Retail,307,Canada,Outbound SDR,9000,won,133,2025-02-08
D-10349,Jesmond Health,Education,2310,UK/EU,Outbound SDR,148000,won,67,2025-01-20
D-10350,Kestrel Capital,Real Estate,810,US-East,Inbound Demo,49000,won,94,2025-11-10
D-10351,Sable Insurance,Pharmaceuticals,190,Canada,Partner Referral,9000,won,95,2025-12-12
D-10352,Everly Aviation,Logistics,189,US-West,Outbound SDR,9000,lost,93,2026-06-24
D-10353,Cascadia Therapeutics,Retail,50,Canada,Outbound SDR,9000,won,75,2024-12-04
D-10354,Everly Media,Healthcare,368,Canada,Paid Search,18000,won,65,2026-01-09
D-10355,Copperfield Systems,Retail,208,US-East,Outbound SDR,12000,won,83,2024-07-17
D-10356,Loxley Health,Media,1315,Canada,Paid Search,58000,won,69,2026-03-04
D-10357,Pemberton Media,Logistics,3951,US-East,Partner Referral,217000,lost,96,2025-02-20
D-10358,Merrivale Systems,Healthcare,70,US-East,Webinar,9000,won,72,2024-10-13
D-10359,Ardent Capital,Education,88,US-West,Conference,9000,won,107,2026-05-03
D-10360,Foxglove Systems,Healthcare,6608,US-West,Outbound SDR,247000,won,127,2025-11-19
D-10361,Jesmond Systems,Manufacturing,346,US-East,Paid Search,19000,lost,102,2025-07-05
D-10362,Jesmond Industries,Media,1345,US-West,Partner Referral,38000,lost,144,2025-08-18
D-10363,Loxley Networks,Retail,364,US-East,Outbound SDR,13000,won,155,2025-01-02
D-10364,Kestrel Retail Co,Retail,1123,Canada,Webinar,56000,lost,101,2025-05-01
D-10365,Elderwood Diagnostics,Pharmaceuticals,58,US-East,Webinar,9000,lost,63,2024-12-16
D-10366,Merrivale Financial,Healthcare,77,US-East,Inbound Demo,9000,lost,81,2024-09-24
D-10367,Glenmore Partners,Real Estate,272,US-East,Paid Search,9000,lost,91,2025-04-24
D-10368,Tamarack Materials,Healthcare,339,Canada,Paid Search,18000,lost,95,2026-06-15
D-10369,Kingsley Bioscience,Logistics,361,US-East,Conference,12000,lost,122,2024-12-29
D-10370,Hollingsworth Logistics,Banking,171,US-East,Outbound SDR,10000,lost,67,2026-02-27
D-10371,Thornbury Clinical,Healthcare,10056,US-East,Paid Search,406000,won,116,2024-11-03
D-10372,Peregrine Retail Co,Hospitality,77,US-West,Conference,9000,lost,127,2026-01-22
D-10373,Tessera Holdings,Manufacturing,1157,UK/EU,Webinar,31000,lost,117,2024-12-15
D-10374,Ivywood Diagnostics,Real Estate,113,UK/EU,Paid Search,9000,lost,103,2025-08-22
D-10375,Clearwave Clinical,Real Estate,89,US-West,Partner Referral,9000,lost,57,2024-09-14
D-10376,Nightingale Financial,Logistics,385,US-West,Outbound SDR,10000,lost,102,2025-07-07
D-10377,Silverpine Holdings,Real Estate,222,US-West,Outbound SDR,14000,lost,83,2025-07-15
D-10378,Everly Robotics,Media,1065,US-West,Webinar,64000,lost,65,2025-03-22
D-10379,Ivywood Labs,Manufacturing,62,US-West,Inbound Demo,9000,lost,106,2024-12-20
D-10380,Silverpine Therapeutics,Healthcare,77,US-East,Paid Search,9000,won,79,2025-05-29
D-10381,Oakhurst Industries,Hospitality,93,US-West,Paid Search,9000,lost,93,2026-03-04
D-10382,Fairhaven Clinical,Pharmaceuticals,245,UK/EU,Partner Referral,9000,won,90,2024-10-27
D-10383,Everly Logistics,Media,877,US-East,Conference,19000,lost,83,2025-09-05
D-10384,Elderwood Partners,Healthcare,195,US-West,Outbound SDR,9000,lost,88,2026-01-17
D-10385,Merrivale Networks,Pharmaceuticals,2660,UK/EU,Outbound SDR,74000,won,70,2025-04-06
D-10386,Dalhousie Robotics,Education,2464,US-West,Webinar,91000,won,67,2025-03-01
D-10387,Jesmond Diagnostics,Media,12905,Canada,Outbound SDR,591000,lost,147,2026-05-30
D-10388,Stonegate Aviation,Media,344,US-East,Webinar,9000,won,117,2025-09-07
D-10389,Vantage Networks,Media,2122,US-East,Paid Search,93000,won,113,2025-06-30
D-10390,Merrivale Foods,Media,2950,US-East,Outbound SDR,113000,lost,93,2026-02-18
D-10391,Silverpine Bioscience,Banking,55,US-East,Outbound SDR,9000,lost,63,2026-04-19
D-10392,Merrivale Holdings,Retail,56,US-East,Outbound SDR,9000,lost,62,2025-07-11
D-10393,Sable Materials,Logistics,299,US-East,Paid Search,18000,won,82,2026-05-19
D-10394,Dunmore Media,Media,188,UK/EU,Outbound SDR,9000,lost,74,2025-06-15
D-10395,Brightline Therapeutics,Manufacturing,267,US-East,Outbound SDR,13000,lost,113,2026-03-21
D-10396,Quarry Hill Systems,Hospitality,2876,US-East,Paid Search,82000,lost,101,2024-12-17
D-10397,Clearwave Holdings,Real Estate,1190,US-East,Outbound SDR,54000,lost,85,2025-10-06
D-10398,Tamarack Clinical,Healthcare,307,Canada,Inbound Demo,14000,won,99,2025-08-19
D-10399,Cascadia Group,Manufacturing,306,US-West,Inbound Demo,9000,lost,80,2026-02-23
D-10400,Northbridge Analytics,Banking,103,US-East,Webinar,9000,lost,77,2026-02-04
D-10401,Foxglove Financial,Banking,57,UK/EU,Inbound Demo,9000,won,109,2025-10-24
D-10402,Carrickfern Aviation,Banking,1186,UK/EU,Outbound SDR,47000,lost,93,2026-05-18
D-10403,Cobalt Analytics,Media,664,US-West,Partner Referral,24000,lost,118,2024-09-27
D-10404,Kilmarnock Partners,Retail,301,US-East,Conference,15000,lost,98,2025-03-04
D-10405,Stonegate Technologies,Retail,177,US-West,Webinar,9000,lost,106,2026-02-15
D-10406,Elderwood Technologies,Media,2288,Canada,Paid Search,132000,won,120,2025-08-09
D-10407,Foxglove Networks,Pharmaceuticals,839,Canada,Outbound SDR,47000,lost,67,2025-01-06
D-10408,Ironwood Partners,Pharmaceuticals,669,Canada,Webinar,29000,lost,63,2025-04-07
D-10409,Meridian Health,Banking,201,US-West,Webinar,9000,won,80,2024-09-10
D-10410,Westmere Systems,Healthcare,93,US-East,Paid Search,9000,won,67,2024-11-02
D-10411,Tamarack Labs,Retail,3321,Canada,Webinar,172000,won,129,2025-08-05
D-10412,Inverness Materials,Healthcare,1339,US-East,Inbound Demo,49000,won,74,2026-03-28
D-10413,Ironwood Logistics,Pharmaceuticals,3390,UK/EU,Paid Search,107000,won,69,2025-12-28
D-10414,Oakhurst Partners,Pharmaceuticals,876,US-West,Paid Search,42000,lost,47,2026-01-24
D-10415,Clearwave Financial,Healthcare,345,Canada,Webinar,18000,won,106,2025-11-20
D-10416,Merrivale Logistics,Healthcare,11979,US-West,Webinar,413000,won,101,2025-02-20
D-10417,Dunmore Labs,Real Estate,4323,UK/EU,Inbound Demo,146000,lost,146,2025-07-25
D-10418,Fenwick Industries,Media,383,US-East,Conference,9000,lost,105,2026-05-10
D-10419,Harrowgate Health,Logistics,353,US-East,Paid Search,15000,lost,104,2025-03-08
